timestamp,record_id,product_type,region,usage_frequency,transaction_amount,account_age_days,support_tickets,signal_score,y_true
2025-05-01 00:00:00,REC-44-00000,M,Jeju,15.94,97973.0,274.0,4,-0.818,1
2025-05-01 01:00:00,REC-44-00001,L,Seoul,15.38,61995.0,460.0,1,-0.525,1
2025-05-01 02:00:00,REC-44-00002,L,Seoul,11.87,44521.0,822.0,1,,1
2025-05-01 03:00:00,REC-44-00003,L,Jeju,18.08,34230.0,269.0,1,-0.736,0
2025-05-01 04:00:00,REC-44-00004,H,Jeju,17.26,52722.0,201.0,4,-0.538,0
2025-05-01 05:00:00,REC-44-00005,L,Jeju,12.43,26515.0,958.0,3,-2.767,0
2025-05-01 06:00:00,REC-44-00006,M,Busan,13.6,24870.0,235.0,3,-1.686,0
2025-05-01 07:00:00,REC-44-00007,M,Seoul,17.41,39283.0,323.0,0,-0.066,0
2025-05-01 08:00:00,REC-44-00008,M,Jeju,13.1,81687.0,214.0,1,-0.959,0
2025-05-01 09:00:00,REC-44-00009,L,Busan,18.25,43378.0,410.0,2,-0.731,0
2025-05-01 10:00:00,REC-44-00010,L,Jeju,19.48,62625.0,193.0,1,0.669,1
2025-05-01 11:00:00,REC-44-00011,L,Daejeon,14.48,29798.0,369.0,1,,1
2025-05-01 12:00:00,REC-44-00012,L,Daejeon,14.88,40438.0,138.0,3,-0.112,0
2025-05-01 13:00:00,REC-44-00013,L,Jeju,14.84,20924.0,511.0,0,-1.581,0
2025-05-01 14:00:00,REC-44-00014,M,Seoul,18.87,41140.0,316.0,2,-0.455,1
2025-05-01 15:00:00,REC-44-00015,L,Seoul,17.46,29324.0,462.0,1,-0.714,0
2025-05-01 16:00:00,REC-44-00016,L,Seoul,11.55,63954.0,219.0,1,-0.489,1
2025-05-01 17:00:00,REC-44-00017,L,Jeju,10.47,50975.0,148.0,1,0.696,1
2025-05-01 18:00:00,REC-44-00018,L,Seoul,12.77,49767.0,112.0,1,-2.39,0
2025-05-01 19:00:00,REC-44-00019,L,Busan,13.69,64012.0,631.0,2,-1.125,1
2025-05-01 20:00:00,REC-44-00020,M,Daejeon,11.56,32744.0,649.0,0,-0.637,0
2025-05-01 21:00:00,REC-44-00021,L,Busan,17.5,14598.0,224.0,1,,0
2025-05-01 22:00:00,REC-44-00022,L,Busan,15.01,18174.0,239.0,3,-0.613,1
2025-05-01 23:00:00,REC-44-00023,H,Seoul,17.61,37739.0,286.0,2,-0.181,0
2025-05-02 00:00:00,REC-44-00024,L,Seoul,17.91,21916.0,1019.0,1,-1.782,0
2025-05-02 01:00:00,REC-44-00025,L,Seoul,11.93,27007.0,402.0,2,-1.436,1
2025-05-02 02:00:00,REC-44-00026,L,Jeju,21.16,28675.0,700.0,2,-0.107,1
2025-05-02 03:00:00,REC-44-00027,M,Seoul,19.86,41324.0,550.0,1,-1.328,0
2025-05-02 04:00:00,REC-44-00028,L,Seoul,14.14,11580.0,560.0,3,-1.19,0
2025-05-02 05:00:00,REC-44-00029,L,Daejeon,12.08,48563.0,137.0,1,-1.698,1
2025-05-02 06:00:00,REC-44-00030,L,Jeju,12.19,47017.0,434.0,2,-0.628,1
