timestamp,record_id,product_type,region,usage_frequency,transaction_amount,account_age_days,support_tickets,signal_score,service_tier
2025-05-01 00:00:00,REC-144-00000,M,Daejeon,12.47,20998.0,290.0,1,-1.993,Premium
2025-05-01 01:00:00,REC-144-00001,L,Jeju,16.92,35177.0,519.0,1,0.598,Basic
2025-05-01 02:00:00,REC-144-00002,H,Jeju,14.75,27470.0,367.0,0,0.464,Plus
2025-05-01 03:00:00,REC-144-00003,L,Jeju,16.75,34277.0,543.0,0,0.003,Basic
2025-05-01 04:00:00,REC-144-00004,L,Daejeon,15.07,31379.0,1231.0,7,-1.455,Premium
2025-05-01 05:00:00,REC-144-00005,L,Seoul,18.95,38312.0,340.0,2,-0.264,Basic
2025-05-01 06:00:00,REC-144-00006,H,Daejeon,19.61,70684.0,644.0,2,-3.043,Plus
2025-05-01 07:00:00,REC-144-00007,L,Seoul,8.75,42158.0,482.0,2,-0.366,Premium
2025-05-01 08:00:00,REC-144-00008,L,Seoul,17.55,27476.0,164.0,2,-2.191,Premium
2025-05-01 09:00:00,REC-144-00009,L,Busan,10.49,42880.0,257.0,1,-0.814,Basic
2025-05-01 10:00:00,REC-144-00010,L,Daejeon,15.41,50183.0,864.0,0,-1.762,Basic
2025-05-01 11:00:00,REC-144-00011,M,Daejeon,6.71,28365.0,684.0,1,-1.712,Plus
2025-05-01 12:00:00,REC-144-00012,L,Seoul,11.92,39552.0,1370.0,1,-1.232,Basic
2025-05-01 13:00:00,REC-144-00013,H,Jeju,18.52,47892.0,404.0,1,-1.044,Premium
2025-05-01 14:00:00,REC-144-00014,L,Daejeon,20.57,86628.0,737.0,1,,Premium
2025-05-01 15:00:00,REC-144-00015,L,Daejeon,11.92,26702.0,550.0,1,-0.579,Basic
2025-05-01 16:00:00,REC-144-00016,L,Busan,16.16,54220.0,380.0,4,-3.282,Premium
2025-05-01 17:00:00,REC-144-00017,L,Jeju,17.03,23941.0,120.0,2,-2.243,Basic
2025-05-01 18:00:00,REC-144-00018,M,Jeju,15.39,51597.0,505.0,3,-0.968,Plus
2025-05-01 19:00:00,REC-144-00019,L,Seoul,15.28,54582.0,532.0,1,0.115,Premium
2025-05-01 20:00:00,REC-144-00020,H,Seoul,17.22,62869.0,426.0,0,-1.95,Plus
2025-05-01 21:00:00,REC-144-00021,L,Busan,14.23,21700.0,689.0,0,-1.411,Basic
2025-05-01 22:00:00,REC-144-00022,L,Jeju,18.34,57191.0,1064.0,0,-2.04,Premium
2025-05-01 23:00:00,REC-144-00023,L,Jeju,10.25,37783.0,679.0,2,-0.934,Basic
2025-05-02 00:00:00,REC-144-00024,M,Busan,16.45,45520.0,479.0,1,-2.257,Plus
2025-05-02 01:00:00,REC-144-00025,L,Busan,18.85,70796.0,370.0,1,-0.549,Premium
2025-05-02 02:00:00,REC-144-00026,L,Jeju,13.08,60031.0,445.0,2,-0.356,Premium
2025-05-02 03:00:00,REC-144-00027,L,Seoul,20.45,42509.0,568.0,1,0.099,Basic
2025-05-02 04:00:00,REC-144-00028,L,Daejeon,14.0,46693.0,230.0,0,-3.036,Basic
2025-05-02 05:00:00,REC-144-00029,L,Jeju,19.28,23065.0,1225.0,2,-0.142,Basic
2025-05-02 06:00:00,REC-144-00030,L,Jeju,13.59,69111.0,246.0,2,-0.256,Premium
2025-05-02 07:00:00,REC-144-00031,L,Jeju,20.18,24769.0,1251.0,2,-1.41,Basic
2025-05-02 08:00:00,REC-144-00032,L,Jeju,12.35,75518.0,597.0,1,,Premium
2025-05-02 09:00:00,REC-144-00033,L,Jeju,9.74,59826.0,395.0,0,-0.485,Premium
2025-05-02 10:00:00,REC-144-00034,L,Busan,12.34,20631.0,288.0,2,-1.418,Premium
2025-05-02 11:00:00,REC-144-00035,L,Seoul,12.97,31848.0,888.0,0,-2.725,Premium
2025-05-02 12:00:00,REC-144-00036,L,Busan,16.6,31373.0,233.0,2,-0.689,Basic
2025-05-02 13:00:00,REC-144-00037,L,Seoul,12.23,21206.0,239.0,1,0.771,Basic
2025-05-02 14:00:00,REC-144-00038,L,Jeju,19.51,32510.0,620.0,2,-1.171,Basic
2025-05-02 15:00:00,REC-144-00039,L,Jeju,17.23,64104.0,868.0,0,0.259,Premium
2025-05-02 16:00:00,REC-144-00040,L,Seoul,17.36,48220.0,346.0,1,-0.851,Premium
2025-05-02 17:00:00,REC-144-00041,L,Jeju,12.34,18380.0,1069.0,0,-1.369,Basic
2025-05-02 18:00:00,REC-144-00042,L,Daejeon,17.74,63454.0,765.0,1,-1.182,Premium
2025-05-02 19:00:00,REC-144-00043,L,Daejeon,20.12,35489.0,573.0,0,-2.832,Basic
2025-05-02 20:00:00,REC-144-00044,L,Seoul,15.56,66972.0,428.0,0,0.781,Premium
2025-05-02 21:00:00,REC-144-00045,L,Jeju,15.37,71195.0,219.0,3,-0.304,Premium
2025-05-02 22:00:00,REC-144-00046,H,Jeju,12.16,24687.0,392.0,3,-0.821,Premium
2025-05-02 23:00:00,REC-144-00047,M,Seoul,17.86,33878.0,303.0,2,-1.282,Plus
2025-05-03 00:00:00,REC-144-00048,L,Jeju,18.64,34157.0,536.0,2,,Basic
2025-05-03 01:00:00,REC-144-00049,H,Jeju,17.65,38612.0,274.0,1,-1.421,Plus
2025-05-03 02:00:00,REC-144-00050,L,Busan,11.62,23705.0,429.0,0,-0.23,Basic
2025-05-03 03:00:00,REC-144-00051,L,Seoul,18.14,26170.0,814.0,2,0.596,Basic
2025-05-03 04:00:00,REC-144-00052,L,Seoul,15.97,60144.0,300.0,0,0.207,Premium
2025-05-03 05:00:00,REC-144-00053,L,Seoul,14.44,28262.0,239.0,2,-2.003,Premium
2025-05-03 06:00:00,REC-144-00054,L,Jeju,12.63,26320.0,559.0,3,-0.749,Basic
2025-05-03 07:00:00,REC-144-00055,L,Seoul,14.89,37906.0,1014.0,1,-1.239,Basic
2025-05-03 08:00:00,REC-144-00056,L,,11.63,43686.0,454.0,1,,Premium
2025-05-03 09:00:00,REC-144-00057,H,Seoul,16.92,38228.0,449.0,2,-0.128,Plus
2025-05-03 10:00:00,REC-144-00058,L,Busan,12.21,25327.0,635.0,0,-0.257,Basic
