timestamp,record_id,product_type,region,usage_frequency,transaction_amount,account_age_days,support_tickets,signal_score,next_month_value
2025-05-01 00:00:00,REC-244-00000,L,Jeju,15.36,40403.0,907.0,1,-1.635,60207.0
2025-05-01 01:00:00,REC-244-00001,L,Seoul,16.82,54317.0,1852.0,1,0.917,32685.0
2025-05-01 02:00:00,REC-244-00002,L,,16.86,52704.0,180.0,2,-2.595,70826.0
2025-05-01 03:00:00,REC-244-00003,L,Busan,14.62,52132.0,1473.0,2,-1.564,40297.0
2025-05-01 04:00:00,REC-244-00004,L,,16.25,40457.0,187.0,1,-0.689,64132.0
2025-05-01 05:00:00,REC-244-00005,L,Busan,13.21,40459.0,333.0,0,,58011.0
2025-05-01 06:00:00,REC-244-00006,M,Daejeon,15.07,21558.0,412.0,0,-1.29,36108.0
2025-05-01 07:00:00,REC-244-00007,L,Daejeon,15.48,26158.0,72.0,3,-1.086,24422.0
2025-05-01 08:00:00,REC-244-00008,M,Busan,15.86,43947.0,615.0,1,,49009.0
2025-05-01 09:00:00,REC-244-00009,M,Jeju,11.79,85887.0,289.0,0,,57592.0
2025-05-01 10:00:00,REC-244-00010,L,Daejeon,20.21,43444.0,745.0,2,-1.737,55271.0
2025-05-01 11:00:00,REC-244-00011,M,Jeju,19.69,47259.0,454.0,1,-2.268,88833.0
2025-05-01 12:00:00,REC-244-00012,L,Seoul,15.2,27258.0,41.0,1,-0.918,47961.0
2025-05-01 13:00:00,REC-244-00013,L,Busan,9.5,82771.0,1524.0,1,0.55,31835.0
2025-05-01 14:00:00,REC-244-00014,L,Seoul,13.46,33956.0,1015.0,1,0.015,17568.0
2025-05-01 15:00:00,REC-244-00015,L,Busan,14.96,33615.0,943.0,3,-1.892,51927.0
2025-05-01 16:00:00,REC-244-00016,L,Seoul,17.84,43924.0,190.0,2,-1.149,46641.0
2025-05-01 17:00:00,REC-244-00017,L,Daejeon,19.04,31393.0,643.0,0,0.246,45345.0
2025-05-01 18:00:00,REC-244-00018,L,Jeju,10.02,43827.0,640.0,1,-0.885,44466.0
2025-05-01 19:00:00,REC-244-00019,L,Seoul,13.67,33108.0,324.0,0,-1.304,23263.0
2025-05-01 20:00:00,REC-244-00020,M,Seoul,17.83,31399.0,153.0,1,-2.438,61769.0
2025-05-01 21:00:00,REC-244-00021,L,Seoul,15.62,42529.0,329.0,2,,38823.0
2025-05-01 22:00:00,REC-244-00022,L,Busan,12.44,50849.0,397.0,1,,43520.0
2025-05-01 23:00:00,REC-244-00023,M,Seoul,15.45,60578.0,297.0,0,,49347.0
2025-05-02 00:00:00,REC-244-00024,L,Seoul,10.65,33348.0,2268.0,3,-1.074,25383.0
2025-05-02 01:00:00,REC-244-00025,L,Jeju,14.39,20300.0,411.0,1,-0.961,40388.0
2025-05-02 02:00:00,REC-244-00026,H,Jeju,19.94,43167.0,216.0,0,-0.759,85903.0
2025-05-02 03:00:00,REC-244-00027,L,Jeju,16.75,63565.0,363.0,3,1.096,48228.0
2025-05-02 04:00:00,REC-244-00028,L,Seoul,15.73,29664.0,961.0,0,-1.384,40782.0
2025-05-02 05:00:00,REC-244-00029,L,Daejeon,20.3,32921.0,795.0,1,-1.077,70159.0
2025-05-02 06:00:00,REC-244-00030,L,Seoul,10.86,34456.0,220.0,3,-1.536,30743.0
2025-05-02 07:00:00,REC-244-00031,L,Seoul,11.62,22078.0,702.0,2,-1.488,64931.0
2025-05-02 08:00:00,REC-244-00032,L,Busan,12.98,60433.0,419.0,1,-1.155,38702.0
2025-05-02 09:00:00,REC-244-00033,L,Daejeon,13.75,36920.0,645.0,2,,11107.0
2025-05-02 10:00:00,REC-244-00034,M,Busan,19.43,36068.0,537.0,1,-2.205,57254.0
2025-05-02 11:00:00,REC-244-00035,H,Jeju,11.99,38679.0,369.0,2,,54681.0
2025-05-02 12:00:00,REC-244-00036,M,Seoul,13.38,25427.0,351.0,1,-1.99,48596.0
2025-05-02 13:00:00,REC-244-00037,H,Busan,17.3,60342.0,326.0,0,-1.969,47961.0
2025-05-02 14:00:00,REC-244-00038,L,Seoul,14.19,26324.0,159.0,4,0.533,27008.0
2025-05-02 15:00:00,REC-244-00039,M,Daejeon,15.13,39175.0,257.0,1,,37867.0
2025-05-02 16:00:00,REC-244-00040,L,Jeju,13.46,40827.0,501.0,1,-0.599,64682.0
2025-05-02 17:00:00,REC-244-00041,M,Daejeon,16.7,28894.0,305.0,0,0.184,10689.0
2025-05-02 18:00:00,REC-244-00042,H,Busan,17.6,30157.0,1175.0,2,0.831,29332.0
2025-05-02 19:00:00,REC-244-00043,L,Busan,13.75,16404.0,840.0,1,-1.594,37430.0
2025-05-02 20:00:00,REC-244-00044,L,Busan,16.77,38406.0,183.0,2,-1.081,31893.0
2025-05-02 21:00:00,REC-244-00045,L,Jeju,12.76,78128.0,592.0,2,-1.636,81771.0
2025-05-02 22:00:00,REC-244-00046,L,Seoul,16.38,27958.0,490.0,1,-0.219,46658.0
2025-05-02 23:00:00,REC-244-00047,L,Seoul,15.0,64854.0,418.0,0,-1.439,63419.0
2025-05-03 00:00:00,REC-244-00048,L,Seoul,10.44,30809.0,502.0,1,,39876.0
2025-05-03 01:00:00,REC-244-00049,L,Jeju,22.3,46879.0,559.0,2,-1.091,56135.0
2025-05-03 02:00:00,REC-244-00050,M,Jeju,16.22,56215.0,794.0,0,-1.069,81775.0
2025-05-03 03:00:00,REC-244-00051,L,Busan,18.61,27556.0,352.0,2,-0.319,34904.0
2025-05-03 04:00:00,REC-244-00052,L,,21.54,32300.0,188.0,2,-0.859,48461.0
2025-05-03 05:00:00,REC-244-00053,L,Jeju,6.99,33381.0,311.0,1,-0.079,67555.0
2025-05-03 06:00:00,REC-244-00054,L,Busan,9.59,33996.0,467.0,2,-2.534,43420.0
2025-05-03 07:00:00,REC-244-00055,M,Daejeon,14.84,35822.0,252.0,1,,55505.0
