timestamp,record_id,product_type,region,usage_frequency,transaction_amount,account_age_days,support_tickets,signal_score,y_true
2025-01-01 00:00:00,REC-42-00000,M,Daejeon,11.86,24710.0,445.0,0,-1.348,0
2025-01-01 01:00:00,REC-42-00001,L,Seoul,13.32,18138.0,845.0,1,-0.709,0
2025-01-01 02:00:00,REC-42-00002,H,Busan,9.68,32417.0,1040.0,1,-0.185,0
2025-01-01 03:00:00,REC-42-00003,M,Busan,13.18,24657.0,411.0,1,-0.146,0
2025-01-01 04:00:00,REC-42-00004,L,Seoul,14.14,26488.0,144.0,1,0.071,0
2025-01-01 05:00:00,REC-42-00005,H,Seoul,9.86,25021.0,600.0,1,1.233,0
2025-01-01 06:00:00,REC-42-00006,M,Daejeon,12.17,72517.0,952.0,2,1.449,0
2025-01-01 07:00:00,REC-42-00007,M,Seoul,10.0,11036.0,412.0,2,2.205,0
2025-01-01 08:00:00,REC-42-00008,L,Seoul,10.32,24026.0,687.0,0,-1.425,1
2025-01-01 09:00:00,REC-42-00009,M,Seoul,8.4,28239.0,245.0,3,-0.656,0
2025-01-01 10:00:00,REC-42-00010,L,Seoul,16.05,20372.0,592.0,2,0.898,0
2025-01-01 11:00:00,REC-42-00011,H,Busan,15.41,41271.0,694.0,2,-0.254,0
2025-01-01 12:00:00,REC-42-00012,M,Busan,13.72,39798.0,602.0,1,1.061,0
2025-01-01 13:00:00,REC-42-00013,H,Seoul,18.31,27721.0,1382.0,1,0.407,0
2025-01-01 14:00:00,REC-42-00014,L,Daejeon,11.39,25243.0,1098.0,0,1.779,0
2025-01-01 15:00:00,REC-42-00015,L,Seoul,21.7,26983.0,758.0,0,1.243,0
2025-01-01 16:00:00,REC-42-00016,M,Seoul,11.27,27065.0,902.0,0,1.261,0
2025-01-01 17:00:00,REC-42-00017,L,Busan,12.82,27367.0,590.0,0,-0.212,1
2025-01-01 18:00:00,REC-42-00018,H,Daejeon,10.73,26135.0,490.0,1,0.103,0
2025-01-01 19:00:00,REC-42-00019,M,Seoul,13.19,31446.0,385.0,1,-0.105,0
2025-01-01 20:00:00,REC-42-00020,M,Seoul,14.67,38807.0,241.0,1,-1.306,1
2025-01-01 21:00:00,REC-42-00021,L,Seoul,11.64,16870.0,1126.0,3,1.672,0
2025-01-01 22:00:00,REC-42-00022,H,Busan,17.69,18192.0,1412.0,2,0.945,0
2025-01-01 23:00:00,REC-42-00023,H,Seoul,12.77,13570.0,518.0,2,-0.145,0
2025-01-02 00:00:00,REC-42-00024,M,Seoul,12.87,40696.0,523.0,1,1.505,0
2025-01-02 01:00:00,REC-42-00025,L,Busan,9.09,31418.0,711.0,0,-0.43,0
2025-01-02 02:00:00,REC-42-00026,M,Seoul,13.34,34969.0,463.0,1,-1.638,0
2025-01-02 03:00:00,REC-42-00027,L,Seoul,11.57,15516.0,262.0,0,1.207,0
2025-01-02 04:00:00,REC-42-00028,L,Seoul,10.05,59855.0,212.0,0,-1.079,1
2025-01-02 05:00:00,REC-42-00029,M,Seoul,9.52,21901.0,1384.0,4,0.004,1
2025-01-02 06:00:00,REC-42-00030,M,Seoul,20.55,30353.0,160.0,1,0.406,0
2025-01-02 07:00:00,REC-42-00031,H,Daejeon,11.16,40491.0,615.0,0,0.585,0
2025-01-02 08:00:00,REC-42-00032,L,Busan,7.34,18685.0,175.0,2,1.048,0
2025-01-02 09:00:00,REC-42-00033,L,Busan,9.77,22484.0,477.0,2,0.781,0
2025-01-02 10:00:00,REC-42-00034,M,Daejeon,11.83,30493.0,409.0,3,0.75,0
2025-01-02 11:00:00,REC-42-00035,L,Seoul,13.75,93914.0,196.0,0,-0.591,0
2025-01-02 12:00:00,REC-42-00036,L,Seoul,13.78,32096.0,725.0,3,0.494,0
2025-01-02 13:00:00,REC-42-00037,M,Daejeon,14.17,55530.0,250.0,0,-1.306,0
2025-01-02 14:00:00,REC-42-00038,L,Seoul,9.94,46929.0,178.0,0,1.762,0
2025-01-02 15:00:00,REC-42-00039,M,Busan,13.09,33010.0,770.0,1,-1.203,0
2025-01-02 16:00:00,REC-42-00040,L,Busan,9.2,18667.0,410.0,2,-0.146,1
2025-01-02 17:00:00,REC-42-00041,H,Seoul,10.02,44139.0,314.0,1,-1.119,0
2025-01-02 18:00:00,REC-42-00042,M,Seoul,9.06,15075.0,797.0,1,-0.53,0
2025-01-02 19:00:00,REC-42-00043,L,Seoul,8.2,55402.0,242.0,1,0.213,0
2025-01-02 20:00:00,REC-42-00044,H,Seoul,15.41,30761.0,147.0,0,-0.329,0
2025-01-02 21:00:00,REC-42-00045,H,Seoul,14.2,9292.0,1001.0,0,1.344,0
2025-01-02 22:00:00,REC-42-00046,L,Seoul,15.13,24514.0,1278.0,2,0.427,0
2025-01-02 23:00:00,REC-42-00047,L,Busan,12.13,37222.0,470.0,1,-0.263,0
2025-01-03 00:00:00,REC-42-00048,M,Daejeon,14.49,25603.0,45.0,1,0.066,0
2025-01-03 01:00:00,REC-42-00049,L,Busan,6.36,38189.0,466.0,1,1.42,0
2025-01-03 02:00:00,REC-42-00050,L,Seoul,14.76,19791.0,823.0,1,1.109,0
2025-01-03 03:00:00,REC-42-00051,L,Seoul,12.57,16342.0,946.0,1,-0.939,0
2025-01-03 04:00:00,REC-42-00052,M,Seoul,14.01,27446.0,260.0,1,-0.481,0
2025-01-03 05:00:00,REC-42-00053,M,Seoul,13.22,28660.0,423.0,2,0.675,0
2025-01-03 06:00:00,REC-42-00054,M,Daejeon,8.84,24433.0,587.0,0,0.553,0
2025-01-03 07:00:00,REC-42-00055,M,Seoul,7.21,47357.0,796.0,3,-0.85,0
2025-01-03 08:00:00,REC-42-00056,M,Seoul,9.72,19790.0,749.0,1,0.949,0
2025-01-03 09:00:00,REC-42-00057,M,Daejeon,13.81,32258.0,682.0,0,-0.691,0
2025-01-03 10:00:00,REC-42-00058,L,Seoul,14.21,29102.0,944.0,1,1.504,0
2025-01-03 11:00:00,REC-42-00059,L,Seoul,7.62,14708.0,490.0,0,0.729,0
2025-01-03 12:00:00,REC-42-00060,M,Seoul,8.86,16253.0,1132.0,3,-0.932,0
2025-01-03 13:00:00,REC-42-00061,M,Busan,9.69,28424.0,359.0,3,-0.329,0
2025-01-03 14:00:00,REC-42-00062,M,Busan,10.86,64997.0,756.0,4,-0.346,1
2025-01-03 15:00:00,REC-42-00063,M,Seoul,7.64,36073.0,391.0,2,0.36,0
2025-01-03 16:00:00,REC-42-00064,M,Daejeon,7.45,13701.0,474.0,0,-0.004,0
2025-01-03 17:00:00,REC-42-00065,M,Daejeon,9.37,7659.0,519.0,2,-0.945,0
2025-01-03 18:00:00,REC-42-00066,M,Daejeon,12.28,38480.0,378.0,3,-1.194,0
2025-01-03 19:00:00,REC-42-00067,L,Seoul,8.22,27162.0,967.0,1,0.749,0
2025-01-03 20:00:00,REC-42-00068,L,Seoul,11.63,45676.0,403.0,2,0.486,1
2025-01-03 21:00:00,REC-42-00069,L,Daejeon,15.39,19538.0,503.0,1,0.306,0
2025-01-03 22:00:00,REC-42-00070,L,Seoul,7.83,32764.0,706.0,1,0.471,0
2025-01-03 23:00:00,REC-42-00071,L,Busan,11.34,40352.0,1717.0,0,-0.419,0
2025-01-04 00:00:00,REC-42-00072,H,Busan,15.28,23437.0,721.0,1,0.384,0
2025-01-04 01:00:00,REC-42-00073,L,Seoul,10.66,23648.0,530.0,2,2.739,0
2025-01-04 02:00:00,REC-42-00074,L,Busan,10.16,28584.0,129.0,0,1.375,0
2025-01-04 03:00:00,REC-42-00075,L,Daejeon,15.72,35523.0,466.0,2,-0.088,0
