timestamp,record_id,product_type,region,usage_frequency,transaction_amount,account_age_days,support_tickets,signal_score,service_tier
2025-01-01 00:00:00,REC-142-00000,L,Daejeon,10.76,32025.0,375.0,1,-0.28,Plus
2025-01-01 01:00:00,REC-142-00001,L,Seoul,16.1,10340.0,465.0,0,0.143,Premium
2025-01-01 02:00:00,REC-142-00002,M,Busan,17.31,35489.0,184.0,4,-0.443,Plus
2025-01-01 03:00:00,REC-142-00003,H,Seoul,6.17,26704.0,92.0,2,0.117,Premium
2025-01-01 04:00:00,REC-142-00004,M,Seoul,18.44,30858.0,267.0,3,-0.403,Plus
2025-01-01 05:00:00,REC-142-00005,H,Seoul,14.25,14575.0,354.0,2,0.623,Basic
2025-01-01 06:00:00,REC-142-00006,L,Busan,14.49,32186.0,344.0,0,1.815,Premium
2025-01-01 07:00:00,REC-142-00007,L,Seoul,12.97,16977.0,1199.0,0,-0.563,Plus
2025-01-01 08:00:00,REC-142-00008,L,Seoul,11.4,37106.0,110.0,1,-2.559,Plus
2025-01-01 09:00:00,REC-142-00009,M,Seoul,11.99,25289.0,796.0,0,-0.932,Premium
2025-01-01 10:00:00,REC-142-00010,M,Seoul,11.81,23788.0,561.0,0,-0.651,Premium
2025-01-01 11:00:00,REC-142-00011,H,Daejeon,10.04,21004.0,1259.0,3,0.401,Premium
2025-01-01 12:00:00,REC-142-00012,L,Seoul,11.18,20378.0,189.0,2,0.757,Plus
2025-01-01 13:00:00,REC-142-00013,M,Seoul,9.64,28708.0,500.0,4,0.31,Premium
2025-01-01 14:00:00,REC-142-00014,M,Daejeon,14.9,36449.0,273.0,3,-0.804,Premium
2025-01-01 15:00:00,REC-142-00015,L,Seoul,13.35,33656.0,269.0,1,0.811,Plus
2025-01-01 16:00:00,REC-142-00016,H,Daejeon,9.59,39822.0,524.0,2,1.84,Basic
2025-01-01 17:00:00,REC-142-00017,L,Seoul,11.69,33045.0,388.0,1,-0.288,Premium
2025-01-01 18:00:00,REC-142-00018,L,Seoul,7.64,37208.0,666.0,2,0.075,Premium
2025-01-01 19:00:00,REC-142-00019,M,Seoul,13.83,39102.0,491.0,1,-1.211,Plus
2025-01-01 20:00:00,REC-142-00020,M,Seoul,15.88,15917.0,139.0,0,0.279,Plus
